epoch,loss_avg,loss_test,acc_test,best_acc
51.0,1.532134351889293,1.5072100448608399,95.43,95.56
52.0,1.533195093154907,1.5065805969238282,95.46,95.56
53.0,1.5331431150039034,1.505897776412964,95.55,95.56
54.0,1.5319209216833114,1.5048315498352052,95.64,95.64
55.0,1.5314293429056807,1.5037980255126953,95.79,95.79
56.0,1.528330609281857,1.5043122230529786,95.72,95.79
57.0,1.524856965700785,1.5033875564575194,95.83,95.83
58.0,1.5225304363965986,1.503588372039795,95.77,95.83
59.0,1.5255074843565621,1.5022377017974853,95.94,95.94
60.0,1.525426296591759,1.5019210540771484,95.99,95.99
61.0,1.528380783518155,1.5022996040344239,95.9,95.99
62.0,1.529073544343313,1.501748963546753,95.98,95.99
63.0,1.525157214283943,1.5011988948822022,96.04,96.04
64.0,1.5275575426816943,1.5007741622924804,96.07,96.07
65.0,1.5259499666690832,1.500680549621582,96.09,96.09
66.0,1.5262617278893793,1.5002603088378905,96.2,96.2
67.0,1.5199740011294676,1.4998503002166748,96.14,96.2
68.0,1.5151559872627263,1.4996203437805176,96.16,96.2
69.0,1.5210811835924787,1.4998763755798339,96.12,96.2
70.0,1.5249003964265184,1.500554312133789,96.06,96.2
71.0,1.5219671034018198,1.5000257251739502,96.15,96.2
72.0,1.5214375206629436,1.4996273860931397,96.17,96.2
73.0,1.5156102704207104,1.4988758266448974,96.28,96.28
74.0,1.5141617363293967,1.4991477279663086,96.21,96.28
75.0,1.518859391927719,1.4982625076293945,96.33,96.33
76.0,1.514945603171984,1.4982352241516113,96.33,96.33
77.0,1.514500225702921,1.4981150241851806,96.29,96.33
78.0,1.513633758823077,1.497978028869629,96.35,96.35
79.0,1.5127844379345572,1.4977085372924805,96.34,96.35
80.0,1.5120515752236048,1.496167845916748,96.55,96.55
81.0,1.5120021415551508,1.4972322406768799,96.37,96.55
82.0,1.510243317206701,1.4966179691314698,96.46,96.55
83.0,1.509085876385371,1.4960958560943602,96.52,96.55
