epoch,loss_avg,loss_test,acc_test,best_acc
120.0,1.4944126296838118,1.4913188404083253,97.01,97.01
121.0,1.5006452601750686,1.4910489711761474,97.0,97.01
122.0,1.498510542750358,1.4905939277648925,97.04,97.04
123.0,1.4977054529587428,1.4906921459197997,97.02,97.04
124.0,1.5004321562051772,1.4908188251495362,97.04,97.04
125.0,1.4926950892210007,1.4910544929504395,97.02,97.04
126.0,1.4949400045474366,1.4903511024475098,97.09,97.09
127.0,1.493160600066185,1.4905191814422607,97.03,97.09
128.0,1.4944142363468809,1.4899313484191894,97.13,97.13
129.0,1.4926467127402614,1.4899871433258056,97.09,97.13
130.0,1.4934399604002633,1.4901808223724364,97.07,97.13
131.0,1.491362950325012,1.4902925457000733,97.07,97.13
132.0,1.49363067094485,1.4902669239044188,97.09,97.13
133.0,1.493685047109922,1.490141286468506,97.04,97.13
134.0,1.4886816716988884,1.4901301734924317,97.02,97.13
135.0,1.489466047445933,1.4897868114471435,97.14,97.14
136.0,1.489071954846382,1.4895943016052247,97.13,97.14
137.0,1.4882399584452315,1.4896454643249513,97.14,97.14
138.0,1.4900507185061767,1.4895946933746338,97.16,97.16
139.0,1.487784992257754,1.4892163547515869,97.18,97.18
140.0,1.4877792746623357,1.4893021896362304,97.14,97.18
141.0,1.4887358121474588,1.4894643760681152,97.13,97.18
142.0,1.4872905411720276,1.4894354496002198,97.15,97.18
143.0,1.487461129705111,1.4892433601379393,97.16,97.18
144.0,1.4854509504636129,1.4887463432312011,97.26,97.26
145.0,1.4870996904770535,1.4891772789001465,97.16,97.26
146.0,1.4849499896764755,1.4895328784942627,97.14,97.26
147.0,1.4888303041458135,1.4885746040344239,97.25,97.26
148.0,1.4905181746880216,1.4889601722717285,97.18,97.26
149.0,1.4865391981204348,1.4889727252960205,97.19,97.26
150.0,1.4889440476497018,1.4878400276184083,97.34,97.34
151.0,1.4894303003549576,1.4879585147857666,97.31,97.34
152.0,1.4880786028305686,1.487998468399048,97.36,97.36
153.0,1.4905365522702534,1.4879808460235595,97.3,97.36
154.0,1.4869223795334496,1.487847603225708,97.3,97.36
155.0,1.487549428065618,1.4879774494171143,97.31,97.36
156.0,1.4828707178433733,1.4878806339263917,97.3,97.36
157.0,1.4820244762500128,1.487897385406494,97.32,97.36
158.0,1.4842137612899142,1.4877093849182128,97.35,97.36
159.0,1.481676127195358,1.4876343437194823,97.27,97.36
160.0,1.485457709312439,1.4875111110687256,97.33,97.36
161.0,1.4842507330576578,1.4877859718322755,97.36,97.36
162.0,1.4870496972401934,1.487691139602661,97.32,97.36
163.0,1.4820593244234725,1.4875399188995362,97.37,97.37
164.0,1.4841656101147336,1.488115326690674,97.27,97.37
165.0,1.486561585783958,1.487545503616333,97.35,97.37
166.0,1.4842669739325836,1.4877007308959962,97.3,97.37
167.0,1.483030036528905,1.4871974723815917,97.43,97.43
168.0,1.4848981499274572,1.4871930027008056,97.43,97.43
169.0,1.4830086670319236,1.488414903640747,97.26,97.43
170.0,1.4862955859502156,1.4872395271301269,97.42,97.43
171.0,1.484039368391037,1.487513568496704,97.34,97.43
172.0,1.4805643937587738,1.4872184146881104,97.36,97.43
173.0,1.479472954154015,1.4871145008087159,97.37,97.43
174.0,1.4807835706869756,1.4872054569244384,97.35,97.43
175.0,1.4824913298686346,1.4867844001770019,97.43,97.43
176.0,1.4815117425521211,1.4872085010528564,97.36,97.43
177.0,1.4807098595698673,1.4868943912506103,97.41,97.43
178.0,1.4805247139533362,1.4866239128112793,97.43,97.43
179.0,1.4806634240945176,1.486899326324463,97.41,97.43
180.0,1.4806909816265108,1.4865772296905517,97.48,97.48
181.0,1.4789297390381493,1.4866163516998292,97.42,97.48
182.0,1.4784107864300409,1.4868444416046143,97.39,97.48
183.0,1.478389421661695,1.4866178318023682,97.45,97.48
184.0,1.4779590820471447,1.4866549869537353,97.4,97.48
185.0,1.4772252631584804,1.48657766456604,97.48,97.48
186.0,1.4776787788470582,1.486557089614868,97.43,97.48
187.0,1.4786252777973805,1.4865972049713134,97.45,97.48
188.0,1.4785969792207074,1.4867577152252198,97.4,97.48
189.0,1.4804637845754625,1.486694734954834,97.43,97.48
190.0,1.480907700181007,1.4869023475646972,97.41,97.48
191.0,1.478729931950569,1.4870626106262208,97.36,97.48
192.0,1.4768706139326093,1.4868591213226319,97.44,97.48
193.0,1.4799541833400727,1.487038625717163,97.41,97.48
194.0,1.4801204500993095,1.487172046661377,97.34,97.48
195.0,1.4791664636929829,1.4873579414367675,97.35,97.48
196.0,1.4784800950686137,1.4873468166351318,97.38,97.48
197.0,1.4775568946599957,1.487024690246582,97.42,97.48
198.0,1.47830407567819,1.4871409477233886,97.36,97.48
199.0,1.4774150308370597,1.487436939239502,97.34,97.48
200.0,1.4793875655730568,1.4875625862121582,97.29,97.48
201.0,1.479591552297274,1.487595041656494,97.31,97.48
202.0,1.4796718182961146,1.4874673637390137,97.36,97.48
203.0,1.4783528121312457,1.487441382598877,97.34,97.48
204.0,1.4784655268987021,1.4874583759307862,97.33,97.48
205.0,1.4779589395920432,1.4874534309387206,97.39,97.48
206.0,1.4763467069069547,1.4872646015167237,97.4,97.48
207.0,1.4770104658206304,1.487105075454712,97.41,97.48
208.0,1.4784828838904696,1.4871704902648926,97.4,97.48
209.0,1.4771273376941685,1.4871050815582276,97.4,97.48
210.0,1.4774837754567463,1.4869196964263915,97.42,97.48
211.0,1.4766977482636774,1.4870758518218994,97.39,97.48
212.0,1.4777756201823553,1.4870834186553956,97.38,97.48
213.0,1.478645886421203,1.4872763217926026,97.37,97.48
214.0,1.4762740088303885,1.4868748752593994,97.44,97.48
215.0,1.4772096000909807,1.4870076404571533,97.44,97.48
216.0,1.4771110275586452,1.4872682697296142,97.4,97.48
217.0,1.4803724492390953,1.4872272632598877,97.39,97.48
218.0,1.4767742650111517,1.4869608432769776,97.42,97.48
219.0,1.4768987946112957,1.4871580204010009,97.39,97.48
220.0,1.4774291020234427,1.487208702468872,97.39,97.48
221.0,1.4755007420380908,1.4870593128204346,97.38,97.48
222.0,1.4759486357371014,1.4866855686187743,97.41,97.48
223.0,1.4754060492118202,1.4866146976470946,97.42,97.48
224.0,1.4760104825894038,1.4863036350250245,97.48,97.48
225.0,1.4778625861406331,1.486709679031372,97.44,97.48
226.0,1.4755500882466637,1.486738911819458,97.45,97.48
227.0,1.4771342329581578,1.486743829727173,97.47,97.48
228.0,1.4781402853727337,1.4865825168609619,97.46,97.48
229.0,1.4775238768259684,1.4864471363067626,97.46,97.48
230.0,1.4763054693539936,1.486933769607544,97.4,97.48
231.0,1.4763828025658927,1.486772571182251,97.42,97.48
232.0,1.4756410728693004,1.4868550205230713,97.4,97.48
233.0,1.4750613061587021,1.4867487796783447,97.43,97.48
234.0,1.4767273467381792,1.4865347705841065,97.48,97.48
235.0,1.4747195127805073,1.4864619846343994,97.52,97.52
236.0,1.4769227640231448,1.486561452102661,97.49,97.52
237.0,1.4752790356874466,1.4865219715118407,97.52,97.52
238.0,1.4767217285235719,1.486769220352173,97.43,97.52
239.0,1.476064759016037,1.486359909439087,97.51,97.52
240.0,1.4741104253927866,1.4864543033599853,97.5,97.52
241.0,1.4753655836582182,1.4865502353668212,97.48,97.52
242.0,1.474849959651629,1.4865830738067627,97.51,97.52
243.0,1.4748843158483507,1.4865276371002196,97.47,97.52
244.0,1.4748212778965633,1.4864193607330323,97.46,97.52
245.0,1.475425762295723,1.4864288974761963,97.45,97.52
246.0,1.4741698337395988,1.4864402179718017,97.47,97.52
247.0,1.4746539269685743,1.4864241886138916,97.48,97.52
248.0,1.4747866492271422,1.486343321609497,97.48,97.52
249.0,1.4753973353306449,1.4864855854034424,97.46,97.52
250.0,1.4749818778832755,1.486407580947876,97.47,97.52
251.0,1.4765724979241694,1.486492525100708,97.46,97.52
252.0,1.4745876028537745,1.4863295017242433,97.44,97.52
253.0,1.4742744383414583,1.4864422885894775,97.46,97.52
254.0,1.4740809597969056,1.486413180923462,97.48,97.52
255.0,1.474563665390015,1.4864804355621337,97.5,97.52
256.0,1.4756258093516033,1.4867785327911376,97.43,97.52
257.0,1.474681468566259,1.4867255680084228,97.46,97.52
258.0,1.4751606357494995,1.4866776782989501,97.47,97.52
259.0,1.474724572579066,1.4867159046173095,97.46,97.52
260.0,1.4739214553435642,1.486596985244751,97.48,97.52
261.0,1.4746342886686328,1.486574086380005,97.49,97.52
262.0,1.4744052561918897,1.4865598026275635,97.5,97.52
263.0,1.4752032816012695,1.486610675430298,97.47,97.52
264.0,1.4748787113825481,1.4868044620513916,97.45,97.52
265.0,1.4748021150430046,1.4867019824981689,97.43,97.52
266.0,1.4743660115003587,1.4866467594146728,97.45,97.52
267.0,1.4749083124001816,1.4866564456939697,97.45,97.52
268.0,1.4755191699266432,1.486667348098755,97.48,97.52
269.0,1.4736787547270456,1.4865917407989502,97.48,97.52
270.0,1.475214256167412,1.486604275894165,97.46,97.52
271.0,1.4747698250214256,1.486578918838501,97.48,97.52
272.0,1.4741412121454869,1.4865607074737548,97.48,97.52
273.0,1.4741742727756497,1.4865211093902588,97.48,97.52
274.0,1.4732245880762738,1.4864584674835206,97.47,97.52
275.0,1.474902760505676,1.486557321548462,97.48,97.52
276.0,1.4768096507787707,1.4866460178375245,97.46,97.52
277.0,1.4744617707331975,1.4865971256256103,97.49,97.52
278.0,1.4750089664459236,1.486625857925415,97.43,97.52
279.0,1.4759552724361416,1.4866194248199462,97.5,97.52
280.0,1.4756834994554522,1.4864124515533448,97.5,97.52
281.0,1.4739608685970307,1.4863900455474854,97.51,97.52
282.0,1.4745027881066006,1.4864921573638916,97.49,97.52
283.0,1.4750947313706084,1.4865633502960205,97.45,97.52
284.0,1.4743243142763776,1.4864116291046143,97.47,97.52
285.0,1.474608824133873,1.486600110244751,97.48,97.52
286.0,1.4740001457134881,1.4865796054840088,97.47,97.52
287.0,1.4743681546052294,1.4866188190460206,97.45,97.52
288.0,1.4749003399213152,1.4867347751617432,97.46,97.52
289.0,1.4763916081984843,1.486815930557251,97.41,97.52
290.0,1.4742788691123325,1.4867979679107666,97.41,97.52
291.0,1.4747583736181258,1.4866090671539307,97.47,97.52
292.0,1.4742026359637574,1.4865440906524658,97.48,97.52
293.0,1.473363876740138,1.4865660877227784,97.47,97.52
294.0,1.4760742507775624,1.486713634109497,97.45,97.52
295.0,1.474476774454117,1.486650973892212,97.44,97.52
296.0,1.4748503796656929,1.4866199604034425,97.46,97.52
297.0,1.4736539254585903,1.4865821216583253,97.47,97.52
298.0,1.474278195778529,1.4866187030792237,97.45,97.52
299.0,1.4754380436738332,1.4867780506134034,97.44,97.52
300.0,1.4739553678035735,1.486566403579712,97.47,97.52
301.0,1.4740165939728416,1.4866046131134034,97.49,97.52
302.0,1.4740406269232436,1.486592558670044,97.46,97.52
303.0,1.4741229470968247,1.4865771747589112,97.47,97.52
304.0,1.4735134594043096,1.4866463871002198,97.48,97.52
305.0,1.474612091898918,1.4865973331451416,97.47,97.52
306.0,1.4742715796629582,1.4867061130523682,97.43,97.52
307.0,1.4747860111792885,1.4867151950836182,97.43,97.52
308.0,1.4734013947248459,1.486691987991333,97.43,97.52
309.0,1.4732442926565803,1.486727795791626,97.42,97.52
310.0,1.4748429632981612,1.4866538120269774,97.45,97.52
311.0,1.4735084987878801,1.4866660068511963,97.43,97.52
312.0,1.4738861606121065,1.4866130741119385,97.44,97.52
313.0,1.4744087380965554,1.4866187381744385,97.44,97.52
314.0,1.4741255189180373,1.4865873905181886,97.47,97.52
315.0,1.474097585479419,1.4865853031158447,97.47,97.52
316.0,1.4750722634394964,1.486606796646118,97.47,97.52
